domain	intent	golden_queries
ALARM	set_alarm	['Can you set an alarm for a quarter to 12 called take antibiotics', 'Turn on my wakeup alarm', 'Turn on alarm', 'Set an alarm for 8am monday', 'Create new alarm for MondayFriday at 6am called WakeUp', 'Set an alarm for every 3 hours', 'wake me up at time', 'set alarm for time', 'set up an alarm for me']
ALARM	find_alarm	['What alarms do I have set', 'What time is my wakeup alarm set for']
ALARM	turn_off_alarm	['Turn off my wakeup alarm', 'Turn off my 7am alarm', 'Cancel alarm', 'stop the alarm']
ALARM	delete_alarm	['Delete my alarm wake up', 'delete alarm']
ALARM	change_alarm	['Change my alarm from 8am to 9am', 'Update my 730 alarm to be eight oclock']
ALARM	snooze	['Snooze the alarm', 'Snooze the alarm for 5 minutes', 'Add 30 minutes to my alarm', 'Sleep in 5 minutes', 'Snooze']
ALARM	set_timer	['Set a 30 minute timer', 'Create a timer for 1 hour', 'Count down 40 minutes', 'Start timer']
ALARM	find_timer	['What timers do I have', 'Do I have a 30 minute timer']
ALARM	turn_off_timer	['Stop timer', 'Turn off timer', 'Cancel timer']
ALARM	delete_timer	['Delete my 30 minute timer']
ALARM	extend	['Extend timer', 'Add 5 more minutes to my timer', 'Add time to my timer']
ALARM	pause	['Pause the timer']
ALARM	unpause	['Resume the timer', 'Unpause the timer', 'Continue the timer']
ALARM	restart	['Restart timer', 'Start over timer', 'Reset the timer', 'Start the timer again', 'Recommence timer']
ALARM	time_remaining	['How much more time do I have on my alarm', 'How much time until my next alarm', 'How much longer do I have until I have to wake up', 'How much more time do I have on my timer', 'How much time until my timer goes off']
ALARM	alarm_other	['Keep going with the timer']
ALARM	alarm_notsure	[]
CAPTURE	capture_default	['Take a screenshot', 'Take a photo', 'Take a picture', 'Record thatthis', 'Stop broadcast']
CALENDAR	add_attendee	['Add Tom to the meeting', 'Invite Jerry to my next meeting']
CALENDAR	create_calendar_entry	['meeting or appointment', 'I want to schedule a meeting', 'I need to set up a meeting', 'Make an appointment with Lisa at 2pm on Sunday', 'Add haircut at 3 pm', 'Create a weekly meeting with Mari', 'Set up a meeting every Friday', 'Add a new calendar', 'Create a new calendar account on Gmail', 'Add a new calendar on Gmail']
CALENDAR	find_calendar_entry	['meetings or appointments', 'Find the patent review meeting', 'What do I have on Tuesday', 'Display my weekly Calendar', 'Show my Calendar', 'Find Marys birthday in my Calendar', 'Whats happening today', 'Find the details about my meeting with Tom', 'Show my info of the meeting on Wednesday', 'Pull up my calendar for tomorrow', 'I wanna see my calendar']
CALENDAR	delete_calendar_entry	['Cancel my meeting with Bob', 'Delete this appointment entry', 'Make sure my calendar is clear next Wednesday from 4 to 8']
CALENDAR	change_calendar_entry	['Move my 3pm appointment to tomorrow morning at 10am', 'Push back my next meeting by a half an hour', 'Switch the meeting to Thursday', 'Change my 11am meeting to conference room 1205', 'Cancel 1130 with Maya and reschedule for noon']
CALENDAR	check_availability	['when is bob available to meet', 'find a time Joe and I can meet', 'Show when carl is available tomorrow', 'Calendar for Lynn on Saturday', 'Is Brian free on Saturday', 'Is Tim busy on Friday', 'Am I busy today', 'Check my calendar for availability']
