text	domain	intent	target
stop.	COMMON	stop	common. stop
what time is it?	OTHER	other	other. other
turn off.	ONDEVICE	power_off	on device. power off
pause.	MEDIACONTROL	pause	media control. pause
play.	MEDIACONTROL	play	media control. play
play music.	MEDIACONTROL	play_media	media control. play media
next song.	MEDIACONTROL	skip_forward	media control. skip forward
hey cortana.	OTHER	other	other. other
what's the weather?	WEATHER	weather_default	weather. weather default
what's the temperature?	WEATHER	weather_default	weather. weather default
what's the temperature outside?	WEATHER	weather_default	weather. weather default
yes.	COMMON	confirm	common. confirm
skip.	MEDIACONTROL	skip_forward	media control. skip forward
play some music.	MEDIACONTROL	play_media	media control. play media
no.	COMMON	reject	common. reject
tell me a joke.	OTHER	other	other. other
stop the music.	MEDIACONTROL	stop	media control. stop
play christmas music.	MEDIACONTROL	play_media	media control. play media
stop music.	MEDIACONTROL	stop	media control. stop
what's the weather today?	WEATHER	weather_default	weather. weather default
off.	ONDEVICE	power_off	on device. power off
skip this song.	MEDIACONTROL	skip_forward	media control. skip forward
play spotify.	MEDIACONTROL	play_media	media control. play media
resume.	MEDIACONTROL	resume	media control. resume
good morning.	OTHER	other	other. other
turn off the lights.	HOMEAUTOMATION	turn_off	home automation. turn off
stop playing.	MEDIACONTROL	stop	media control. stop
volume down.	MEDIACONTROL	volume_down	media control. volume down
stop playing music.	MEDIACONTROL	stop	media control. stop
shut up.	COMMON	stop	common. stop
volume up.	MEDIACONTROL	volume_up	media control. volume up
turn on the lights.	HOMEAUTOMATION	turn_on	home automation. turn on
snooze.	ALARM	snooze	alarm. snooze
cancel.	COMMON	cancel	common. cancel
pause music.	MEDIACONTROL	pause	media control. pause
what's the weather like today?	WEATHER	weather_default	weather. weather default
what's the weather like?	WEATHER	weather_default	weather. weather default
what's the weather tomorrow?	WEATHER	weather_default	weather. weather default
goodnight.	OTHER	other	other. other
turn off alarm.	ALARM	turn_off_alarm	alarm. turn off alarm
skip song.	MEDIACONTROL	skip_forward	media control. skip forward
resume music.	MEDIACONTROL	resume	media control. resume
turn off the music.	MEDIACONTROL	stop	media control. stop
what's the weather outside?	WEATHER	weather_default	weather. weather default
next track.	MEDIACONTROL	skip_forward	media control. skip forward
how are you?	OTHER	other	other. other
turn off the alarm.	ALARM	turn_off_alarm	alarm. turn off alarm
shut down.	ONDEVICE	power_off	on device. power off
what song is this?	MEDIACONTROL	recognize_currently_playing	media control. recognize currently playing
answer.	COMMUNICATION	answer_phone	communication. answer phone
set a timer for 10 minutes.	ALARM	set_timer	alarm. set timer
play next song.	MEDIACONTROL	skip_forward	media control. skip forward
turn it down.	MEDIACONTROL	volume_down	media control. volume down
turn it up.	MEDIACONTROL	volume_up	media control. volume up
what's up?	OTHER	other	other. other
turn off lights.	HOMEAUTOMATION	turn_off	home automation. turn off
stop timer.	ALARM	turn_off_timer	alarm. turn off timer
set a timer for 5 minutes.	ALARM	set_timer	alarm. set timer
play classical music.	MEDIACONTROL	play_media	media control. play media
power off.	ONDEVICE	power_off	on device. power off
play the next song.	MEDIACONTROL	skip_forward	media control. skip forward
what's the time?	OTHER	other	other. other
turn off music.	MEDIACONTROL	stop	media control. stop
pause the music.	MEDIACONTROL	pause	media control. pause
play some Christmas music.	MEDIACONTROL	play_media	media control. play media
play country music.	MEDIACONTROL	play_media	media control. play media
turn up the volume.	MEDIACONTROL	volume_up	media control. volume up
turn the music off.	MEDIACONTROL	stop	media control. stop
