text	domain	intent	target
turn that alarm off.	ALARM	turn_off_alarm	alarm. turn off alarm
play the hamilton soundtrack.	MEDIACONTROL	play_media	media control. play media
note. add to note	NOTE	add_to_note	note. add to note
play dog music.	MEDIACONTROL	play_media	media control. play media
please turn it down.	MEDIACONTROL	volume_down	media control. volume down
media control. skip forward	MEDIACONTROL	skip_forward	media control. skip forward
media control. play media	MEDIACONTROL	play_media	media control. play media
other. other	OTHER	other	other. other
set a timer for 26 minutes.	ALARM	set_timer	alarm. set timer
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
tell me something funny.	OTHER	other	other. other
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
set my alarm for 12 PM.	ALARM	set_alarm	alarm. set alarm
other. other	OTHER	other	other. other
other. other	OTHER	other	other. other
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
tell me a dad joke.	OTHER	other	other. other
what's the weather like this weekend?	WEATHER	weather_default	weather. weather default
turn off kitchen nook.	HOMEAUTOMATION	turn_off	home automation. turn off
media control. play news	MEDIACONTROL	play_news	media control. play news
open sleep sounds thunder storms.	MEDIACONTROL	play_media	media control. play media
play you broke up with me.	MEDIACONTROL	play_media	media control. play media
play AR rahman.	MEDIACONTROL	play_media	media control. play media
other. other	OTHER	other	other. other
open story time.	ONDEVICE	open_application	on device. open application
play classical music.	MEDIACONTROL	play_media	media control. play media
set an alarm for 9:15.	ALARM	set_alarm	alarm. set alarm
set alarm for 8:30 AM.	ALARM	set_alarm	alarm. set alarm
turn sitting room light on.	HOMEAUTOMATION	turn_on	home automation. turn on
media control. play media	MEDIACONTROL	play_media	media control. play media
check for updates.	ONDEVICE	open_setting	on device. open setting
other. other	OTHER	other	other. other
loud.	OTHER	other	other. other
superman.	OTHER	other	other. other
other. other	OTHER	other	other. other
turn volume down 10%.	MEDIACONTROL	volume_down	media control. volume down
media control. play media	MEDIACONTROL	play_media	media control. play media
play foo fighters san bernidino set list.	MEDIACONTROL	play_media	media control. play media
turn on my bedroom light.	HOMEAUTOMATION	turn_on	home automation. turn on
wake me up at 7 o'clock.	ALARM	set_alarm	alarm. set alarm
repeat the song.	MEDIACONTROL	repeat	media control. repeat
media control. play media	MEDIACONTROL	play_media	media control. play media
other. other	OTHER	other	other. other
play some hawaiian music.	MEDIACONTROL	play_media	media control. play media
wake me up at 4.	ALARM	set_alarm	alarm. set alarm
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
media control. play media	MEDIACONTROL	play_media	media control. play media
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
turn off the outside lights.	HOMEAUTOMATION	turn_off	home automation. turn off
media control. skip forward	MEDIACONTROL	skip_forward	media control. skip forward
read me a bedtime story.	OTHER	other	other. other
play krld radio on tunein.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
play Neil Young.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
set the temperature to 80%.	HOMEAUTOMATION	set_device	home automation. set device
turn off entry.	HOMEAUTOMATION	turn_off	home automation. turn off
home automation. turn off	HOMEAUTOMATION	turn_off	home automation. turn off
play music by foster the people.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
home automation. turn off	HOMEAUTOMATION	turn_off	home automation. turn off
play sleep music 101.	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
media control. play media	MEDIACONTROL	play_media	media control. play media
sweet dreams.	OTHER	other	other. other
alarm. turn off alarm	ALARM	turn_off_alarm	alarm. turn off alarm
play christmas piano.	MEDIACONTROL	play_media	media control. play media
turn on the lights please.	HOMEAUTOMATION	turn_on	home automation. turn on
play mask off.	MEDIACONTROL	play_media	media control. play media
remind me to take my evening pills at 8 pm.	REMINDER	create_single_reminder	reminder. create single reminder
home automation. turn off	HOMEAUTOMATION	turn_off	home automation. turn off
home automation. turn on	HOMEAUTOMATION	turn_on	home automation. turn on
media control. play media	MEDIACONTROL	play_media	media control. play media
other. other	OTHER	other	other. other
set alarm 7:30 AM.	ALARM	set_alarm	alarm. set alarm
media control. play media	MEDIACONTROL	play_media	media control. play media
skip the next song.	MEDIACONTROL	skip_forward	media control. skip forward
other. other	OTHER	other	other. other
other. other	OTHER	other	other. other
pair device.	ONDEVICE	pair_device	on device. pair device
media control. play media	MEDIACONTROL	play_media	media control. play media
play here.	MEDIACONTROL	play_media	media control. play media
media control. volume down	MEDIACONTROL	volume_down	media control. volume down
home automation. turn off	HOMEAUTOMATION	turn_off	home automation. turn off
media control. play media	MEDIACONTROL	play_media	media control. play media
on device. open application	ONDEVICE	open_application	on device. open application
alarm. set alarm	ALARM	set_alarm	alarm. set alarm
set alarm for 9 PM.	ALARM	set_alarm	alarm. set alarm
media control. play media	MEDIACONTROL	play_media	media control. play media
other. other	OTHER	other	other. other
other. other	OTHER	other	other. other
ask dad.	OTHER	other	other. other
call wife.	COMMUNICATION	make_call	communication. make call
